Tap location:,*Northing(m),*Easting(m),Elevation(m),Notes
24.23m,5.80441014,16.2207353,-1.482,half rod
24.0m,5.754912666,15.97607635,-1.501,
23.7m,5.781075617,15.67697019,-1.659,
23.4 m,5.768347695,15.37291428,-1.728,
23.1 m,5.747134492,15.09431421,-1.842,
23.03m,5.759155307,15.01582536,-1.88,WSE
22.5m,5.732992356,14.4876166,-2.005,
22.21m,5.740867466,14.19204598,-2.037,
21.90m,5.730461875,13.88869717,-2.055,
21.60m,5.728749716,13.57120623,-2.065,
21.30 m,5.770469015,13.28482799,-2.1,
21.0 m,5.765924859,12.97511523,-2.102,
20.7 m,5.779259382,12.70712176,-2.158,
20.4 m,5.764320345,12.67035221,-2.195,FULL Rod
20.1m,5.66864564,12.08698912,-2.234,
19.8 m,5.65268013,11.781519,-2.261,
19.51m,5.625601922,11.47180623,-2.327,
19.18m,5.634995321,11.15572951,-2.332,
18.92 m,5.632270969,10.87500812,-2.299,
18.44 m,5.672888281,10.423874,-2.4,
18.14 m,5.73864921,10.14598104,-2.41,
17.79 m,5.643896903,9.775457096,-2.468,
17.39 m,5.647730383,9.366749383,-2.487,
17.12m,5.66652432,9.083906676,-2.524,
16.78m,5.5286385,8.736717252,-2.604,
16.55 m,5.588333414,8.540848677,-2.675,
16.20 m,5.615612633,8.159011022,-2.716,
15.60m,5.626926341,7.577769257,-2.696,
15.30 m,5.639051231,7.279370201,-2.744,
16.12 m,5.615914148,7.098350868,-2.624,
14.80m,5.630461875,6.768132007,-2.765,
14.48 m,5.609955778,6.461954776,-2.753,
14.15m,5.669352747,6.133857235,-2.783,
13.80 m,5.701172552,5.764040395,-2.825,
13.48m.,5.622981646,5.45432763,-2.868,
13.20m,5.607834458,5.179970203,-2.853,
12.91 m,5.613491312,4.88298536,-2.808,
12.56 m.,5.616319739,4.532260403,-2.578,
12.25 m,5.607834458,4.228204492,-2.79,
11.92 m,5.617529372,3.91354198,-2.481,
11.60 m,5.599349177,3.572009411,-2.504,
11.25 m,5.62056238,3.228355521,-2.395,
11.06 m ,5.619148166,3.026122985,-2.228,WSE
10.95 m,5.586621255,2.929956464,-1.271,Edge of tape
